Input,Predicted,Actual
You misunderstood what I said.,"<unk> , <unk> <unk> किया .",तुम समझी नहीं मैने क्या कहा.
You have no fear.,"<unk> , <unk> नहीं है .",आप कोई डर नहीं है.
[ CAMERON CHUCKLES ],<unk> <unk> <unk> <unk> कर,[कैमरून दूसरे से टकराए]
THAT'S WHY I'M HERE.,<unk> <unk> <unk> <unk> <unk> .,मैं यहाँ क्यों हूँ है.
"Facing maniacs, that's my job!","मेरी , मेरी मेरी मेरी मेरी है !","पागलों का सामना करना, मेरा काम है!"
I'm not the boss here...,मुझे सिर्फ बाहर नहीं . . .,मैं यहाँ का मालिक नहीं कर रहा हूँ...
Grandma You deceived us.,<unk> <unk> <unk> <unk> <unk> .,दादी ... ... तुमने हमें धोखा दिया.
Keep your fucking hands down.,<unk> <unk> <unk> नीचे .,कमबख्त अपने हाथ नीचे रखो.
When does it start?,यह <unk> <unk> है है ?,जब यह शुरू होता है?
Did you ask about pay?,आप के के में में ? ?,क्या वेतन के बारे में पूछा?
Power. man: [laughs] woman:,पुरुष # 2 में रहा है :,तुम्‍हें किससे प्‍यार है?
Performed by MERA Yoshikazu,<unk> <unk> <unk> <unk> <unk>,मेरा Yoshikazu के द्वारा प्रदर्शन किया
Every morning you wake up...,<unk> . . . . . .,हर सुबह जब तुम जागोगे...
I knew the theory.,<unk> <unk> <unk> <unk> . .,मुझे थ्योरी पता थी .
"Oh, no, darling, just you.","नहीं , नहीं , , , ,","प्रिय, ओह नहीं, सिर्फ तुम."
Conn pod door lock secure.,"<unk> <unk> , <unk> . .",क्ोन फली दरवाजा सुरक्षित ताला.
"Mixing the races, harmony?","<unk> <unk> , <unk> <unk> ?","दौड़, सद्भाव मिलाकर देखना?"
"( Grunting, moaning )","( <unk> , <unk> ) )","(घुरघुराना, कराह रही है)"
( ENGINE STARTS ),( <unk> ) <unk> ),(इंजन शुरू होता है)
Where are we going?,हम हम कर रहे हैं,हम कहां जा रहे हैं?
Bring Mr. Asher here.,<unk> <unk> <unk> <unk> . .,यहाँ श्री आशेर लाओ.
I tied my shoe today.,<unk> <unk> <unk> <unk> <unk> .,मैंआजमेराजूताबंधे
What a great news!,<unk> <unk> <unk> है !,क्या शुभ समाचार है!
"Martin, I want you to..","<unk> , तुम <unk> <unk> <unk> <unk> .",मैं चाहती हूं कि आप--
Getting what I say?,<unk> क्या क्या ? ?,मैं क्या कह रही है? !
"All right, what's the truth?","ओय , क्या , क्या है ?","ठीक है, सच क्या है?"
Have you already forgotten?,तुम आप <unk> <unk> <unk> ?,क्या तुम भूल गये?
Why'd you keep kicking him?,तुम <unk> <unk> <unk> <unk> ?,तुम क्यों उसे लात मारते रहे?
- Here you go.,आप <unk> <unk> . .,- यहाँ तुम जाओ.
My friends are here.,"<unk> , <unk> हैं .",मेरे मित्र यहां है।
"""Please don't go away now.""",""" . . . पर . । .","""कृपया अब दूर नहीं जाना है।"""
You helped one of us.,<unk> <unk> <unk> <unk> है है .,तुम हम में से एक की मदद की.
Tell us about your world.,हम अपने के के के लिए है,हमें इस ग्रह के बारे में बताइए .
They were brash fuckers.,<unk> <unk> <unk> <unk> .,वे घमंडी कमीने थे।
You'll have to run.,<unk> <unk> <unk> .,तुम्हें भागना होगा.
You see Omar over there?,"<unk> , <unk> <unk> है ?",तुम वहाँ ओमार को देख रहे हो?
Bring it down to five.,<unk> <unk> के <unk> .,पांच से इसे नीचे लाने के लिए.
Tim doesn't fit anymore.,<unk> भी <unk> नहीं नहीं है .,टिम की किसी को ज़रूरत नहीं।
I got a racket!,<unk> <unk> <unk> <unk> है !,मेरे हाथ में रैकेट है!
"""Sweetheart I swear on you.""",""" जानेमन मैं तुम पर कसम खाता । ""","""जानेमन मैं तुम पर कसम खाता हूँ।"""
I mean you look gorgeous,आप <unk> <unk> <unk> कर रहे,मेरा मतलब है आप बहुत खूबसूरत लग रही
Now do you get it?,आप यह यह हो ?,अब तुम्हें समझ में आया?
( footsteps depart ),( <unk> ) <unk> ),(नक्शेकदमरवाना)
I always wanted a Chopper.,<unk> <unk> <unk> <unk> <unk> . .,मैं हमेशा से चॉपर चाहता था.
I'm not going back.,मैं तुम्हें वाला जा जा ।,मैं वापस नहीं जा रहा हूँ।
I'm not a hugger.,मैं एक <unk> नहीं नहीं ।,मैं एक गुप्त नहीं हूँ।
"And you are, too.","तुम , , , हैं .",आप भी कर रहे हैं.
- I THOUGHT SO.,<unk> <unk> <unk> <unk> .,- मुझे ऐसा लगा.
I THOUGHT I COULD.,<unk> <unk> <unk> <unk> . .,मैं मैं कर सकता है.
Give him to me.,<unk> मुझे <unk> <unk> .,उसे मुझे दे.
I heard you got married.,आप <unk> <unk> <unk> <unk> . .,मैंने सुना है आप शादी कर ली।
- Give him a sword,<unk> <unk> <unk> <unk> .,- उसे एक तलवार दें
Can you save San?,आप <unk> <unk> <unk> ? ?,आप सैन को बचाने के सकता है?
Are we not with you?,हम हम हम नहीं ? ?,क्या हम तुम्हारे साथ नहीं हैं?
Tell her to go away.,<unk> जाने के . .,इसे जाने के लिये कहो ना.
It needs a pilot.,<unk> <unk> <unk> <unk> .,यह एक पायलट की जरूरत है.
"No, mid-size is fine, sir.","यह है , , है .","नहीं, सर मध्य आकार, ठीक है."
He knows I'm here.,"<unk> , मैं मैं <unk> कर .",उन्होंने कहा कि मैं यहाँ हूँ जानता है.
Prepare for stage one separation.,<unk> <unk> <unk> <unk> <unk> .,पहले चरण के अलगाव के लिए तैयार रहे .
"- Be quiet, Erich.","<unk> , <unk> <unk> .","- चुप रहो, एरिक."
"Yeah, my parents know.","<unk> , , <unk> . .","हां, मेरे माता-पिता जानते हैं."
"Good morning. Good morning, sir.","<unk> <unk> , , , .",सर।
"Perdiccas, Leonnatus Nearchus, Polyperchon.","<unk> , <unk> , <unk> <unk> <unk>","Perdiccas, Leonnatus... ... Nearchus, Polyperchon."
Come here and warm up.,"और , और और . .",यहाँ आओ और आग तापो.
All procedural interventions have failed.,<unk> <unk> <unk> <unk> . .,सभी प्रक्रियात्मक हस्तक्षेप विफल रहे हैं।
I'm going to sleep.,मैं <unk> के जा जा . .,मैं सोने जा रहा हूँ.
Did he have a choice?,वह वह एक <unk> है है ?,वह एक विकल्प है?
Really know each other.,"<unk> , <unk> <unk> <unk> है",सच में एक दूसरे को जानते हैं.
