Input,Predicted,Actual
The night is short.,<unk> खतरे अच्छे में है .,रात छोटी है.
- Did you enjoy it?,<unk> आप आप कि <unk> ?,- आप इसे पसंद आई?
"What ya having, K.C.?",<unk> <unk> <unk> <unk> <unk> <unk> ?,"क्या फिर रहा है, के.सी.?"
Especially good for him.,<unk> उसके लिए लिए लिए .,विशेष रूप से उसके लिए अच्छा है.
Were you watching me?,<unk> <unk> मुझे मुझे मुझे ?,तुम मुझे देख रहे थे?
"♪ TO, BABY, MESS AROUND","<unk> <unk> <unk> , , , <unk>","♪करने,शिशु,केआसपास गंदगी"
"Not getting any easier, huh?","<unk> <unk> <unk> <unk> , , , ,","नहीं किसी भी आसान हो रही है, है न?"
Alphonse is on his way.,<unk> आखिरी पर है है,अल्फोंस अपने रास्ते पर है.
- Neither can I,<unk> <unk> <unk> <unk>,- न तो मैं कर सकता हूँ
Get out of here!,यहाँ से से ! ! !,यहां से निकलो !
Was act of god Jonathan.,<unk> <unk> <unk> <unk> . .,भगवान जोनाथन का कार्य था.
It's called Dasasvamedh Ghat.,<unk> <unk> <unk> <unk> <unk> है .,इसे दसास्वमेघ घाट कहा जाता है.
"Yeah, yeah, I know.","<unk> , , , , , , .","हाँ, हाँ, मुझे पता है।"
"Yeah, smart and funny.","<unk> , , <unk> . .","हाँ, समझदार और मजाकिया."
"- Documents, I said.","<unk> , , <unk> कहा .","- दस्तावेज़, मैंने कहा."
then I gotta earn that.,तो <unk> <unk> <unk> किया .,तो मैं इसे कमाना चाहता हूं।
"No, no, it's cool.","<unk> , , , , , . .","नहीं, नहीं, यह अच्छा है."
Does he have a pulse?,<unk> एक एक <unk> है ?,वह एक नाड़ी है?
Still working on the name.,<unk> नाम <unk> <unk> है .,"लेकिन मुद्दा यह है, बढ़ती ज्वार सभी नावों को हटाया."
You gotta be shitting me.,<unk> मुझे मुझे मुझे . .,हद हो गई।
Almost calls for a Snuggie.,<unk> के के <unk> <unk> . .,लगभग एक Snuggie के लिए कहता है.
I have the package.,<unk> <unk> <unk> .,मैं पैकेज है.
Do you see your children?,आप आप आप आप तैयार ? ?,तुम्हे अपने बच्चे दिखाई दे रहे हैं ?
That's why you're single?,<unk> <unk> क्यों <unk> कर रहे हो ?,यही कारण है कि तुम अकेले हो रहा है?
This is my team?,<unk> मेरी <unk> है है ?,यह मेरी टीम है?
Just wanted to play.,<unk> के के लिए . .,बस खेलने के लिए करना चाहता था।
And exploitation of Kaiju remains.,<unk> <unk> <unk> <unk> . .,Kaiju की और शोषण बनी हुई है.
"""Name of child, Nathan Bristol.""",""" <unk> <unk> , , <unk> , .",""". बच्चे के नाम, नाथन ब्रिस्टल"""
You let your family die!,अपने कमबख्त कोने में को ! !,आप अपने परिवार के मर जाते हैं!
I'll see you en España.,<unk> <unk> <unk> <unk> <unk> .,मैं Espafia एन आप देखेंगे.
Until your heart stops beating.,अपनी <unk> <unk> <unk> है .,जब तक तुम्हारे दिल की धड़कन रुक जाती है.
"King Snow, isn't it?","<unk> <unk> <unk> , नहीं नहीं है ?","राजा हिमपात, है ना?"
Yellow like your cowardly selves.,<unk> <unk> <unk> <unk> <unk> .,आपके कायर खुद की तरह पीला.
Forms of exchange offices.,<unk> <unk> <unk> <unk> .,कार्यालयों मुद्रा फार्म की.
Everything you stand for.,<unk> आप के लिए . .,आप के लिए खड़े सब कुछ.
Miss you a lot.,<unk> एक एक आप . .,आपकी बहुत याद आती है।
I came into some resources.,<unk> <unk> <unk> <unk> . . .,मैं कुछ संसाधनों में आया।
"Have a coffee, a muffin.","<unk> एक <unk> , <unk> <unk> .","एक कॉफी, एक टिकिया लो."
WOMAN 1 [ON TV]:,[ <unk> <unk> <unk> ] ],WOMAN 1 [टीवी पर ]:
Try it you'll like it.,<unk> <unk> आप कि <unk> . . .,आप इसे पसंद करेंगे यह कोशिश करो.
Of course it was futile.,<unk> <unk> <unk> <unk> . .,"बिल्कुल, इसका कोई लाभ नहीं हुआ."
It's your new baby...,<unk> अपने बटुए बटुए . . .,यह तुम्हारा नया छोटा...
When did you come back?,<unk> तुम <unk> <unk> <unk> ? ?,आप जब वापस आया था?
That was a close call.,<unk> वाला वाला था । ।,बाल-बाल बचे.
Look to your left.,अपनी के के के लिए .,अपनी बाईं ओर देखो.
I'm done talking about it.,<unk> इसके बारे बात बात कर रहा कर,मैं इसके बारे में बात कर रहा हूँ.
I knew it was something.,<unk> कुछ कुछ था था था .,मैं जानता था ये अहम चीज़ है।
I'm holding you responsible.,<unk> <unk> <unk> <unk> <unk> <unk> .,इसके लिए तुम ज़िम्मेदार हो।
- He needed us more.,<unk> <unk> <unk> <unk> <unk> .,- वह हमें अधिक जरूरत थी.
He must be a pirate,<unk> <unk> <unk> किया,वह एक समुद्री डाकू होना चाहिए
El Matador Del Mar.,<unk> <unk> <unk> <unk> <unk>,एक आदमी जो समुद्र को मारता है...
"No, let's go this way.","<unk> , चलो इधर इधर चलो","नहीं, इधर से."
You betrayed the Hard Master.,<unk> <unk> <unk> <unk> <unk> .,आप हार्ड मास्टर धोखा दिया..
Don't go wasting good moonshine.,<unk> मत बर्बाद मत नहीं । ।,अच्छा चांदनी बर्बाद मत जाओ.
Please evacuate the Capitol.,<unk> <unk> <unk> <unk> .,-प्लीज़ कैपिटल को ख़ाली कर दें।
[GRACE GIGGLES AND BURT CHUCKLES],[ <unk> <unk> <unk> <unk>,[अनुग्रह गिगल्स और बर्ट दूसरे से टकराए]
I got a massive headache.,<unk> <unk> <unk> <unk> है .,मैं एक है भारी सिरदर्द.
But we have to...,<unk> <unk> में . . .,-पर हमें-- -नहीं।
"Danny's gone away, Mrs. Torrance.","<unk> <unk> , , <unk> <unk> . .","डैनी दूर चला गया है, श्रीमती टॉरंस."
